일자,기관 합계,기타법인,개인,외국인 합계,전체
2025-09-12,3,-158,-55736,55891,0
2025-09-11,-26,13362,-1799,-11537,0
2025-09-10,316,1500,-16726,14910,0
2025-09-09,4,0,27039,-27043,0
2025-09-08,3,-684,-65566,66247,0
2025-09-05,4,0,-10160,10156,0
2025-09-04,4,0,27484,-27488,0
2025-09-03,3,705,4529,-5237,0
2025-09-02,4,453,-13864,13407,0
2025-09-01,4,66,16408,-16478,0
2025-08-29,4,-64092,60813,3275,0
2025-08-28,3,-12600,28859,-16262,0
2025-08-27,4,0,15590,-15594,0
2025-08-26,4,-37508,33020,4484,0
2025-08-25,4,-21894,83566,-61676,0
2025-08-22,1,4,12530,-12535,0
2025-08-21,3,20,11716,-11739,0
2025-08-20,4,579,-39734,39151,0
2025-08-19,4,749,25741,-26494,0
2025-08-18,3,-2211,4205,-1997,0
2025-08-14,148,0,15864,-16012,0
2025-08-13,4,0,-30814,30810,0
2025-08-12,3,252,-9340,9085,0
2025-08-11,3,-7777,-16890,24664,0
2025-08-08,4,90,11928,-12022,0
2025-08-07,-1740,-34145,41415,-5530,0
2025-08-06,3,-87539,50405,37131,0
2025-08-05,3,-45994,17320,28671,0
2025-08-04,-43,-1574,11062,-9445,0
2025-08-01,3,-375,-20287,20659,0
2025-07-31,3,-57537,34665,22869,0
2025-07-30,1,-2251,-34940,37190,0
2025-07-29,3,-30408,-74176,104581,0
2025-07-28,3,-290,-127486,127773,0
2025-07-25,-4996,-1000,12768,-6772,0
2025-07-24,-10001,0,21894,-11893,0
2025-07-23,3,668,61507,-62178,0
2025-07-22,3,-70,14685,-14618,0
2025-07-21,3,-2270,26826,-24559,0
2025-07-18,3,14079,34136,-48218,0
2025-07-17,3,-55882,-96184,152063,0
2025-07-16,4,-2726,53792,-51070,0
2025-07-15,3,500,33524,-34027,0
2025-07-14,3,-8441,-65690,74128,0
2025-07-11,4,-1463,-4697,6156,0
2025-07-10,3,927,18053,-18983,0
2025-07-09,3,0,-11549,11546,0
2025-07-08,4,2409,15099,-17512,0
2025-07-07,3,-1879,4628,-2752,0
2025-07-04,4,2151,8977,-11132,0
2025-07-03,5003,-2430,-46800,44227,0
2025-07-02,4,9174,42572,-51750,0
2025-07-01,10004,-14233,-94050,98279,0
2025-06-30,3,-55008,58383,-3378,0
2025-06-27,10,-13832,52963,-39141,0
2025-06-26,-2764,-19607,45549,-23178,0
2025-06-25,-17489,-61020,74715,3794,0
2025-06-24,-28,-48600,29292,19336,0
2025-06-23,3,-31526,36629,-5106,0
2025-06-20,228,-77000,60871,15901,0
2025-06-19,2,-18200,-33820,52018,0
2025-06-18,4,-61467,123980,-62517,0
